etat_ordinateur,marque_ordinateur,prix_ordinateur,adresse,image_ordinateur
VenantLenovo,𝗟𝗘𝗡𝗢𝗩𝗢 𝗧𝗛𝗜𝗡𝗞𝗣𝗔𝗗 𝗧𝟰𝟲𝟬 | 𝗜𝟱,125 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/93796770f7386877d919728913bc2d86/-/horizon-files-prod/ed/picture/qde7zqrr/0a55536b73a2bb4adaf8a5db9933b5192c382d3c.jpg
NeufApple,MacBook Pro M4 Pro (2024),1 550 000,Sicap Sacré-cœur Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b21927b68ae03ae3e092e582c3d18e8a/-/horizon-files-prod/ed/picture/qxjpn4pj/e17086f92f84104cc4892ca0046d201f3ad2c66f.jpg
VenantHP,Hp MT44,150 000,Yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ce7f966274c0a4f30e9c83e2bdb1b370/-/horizon-files-prod/ed/picture/qpdm4vv0/58483c6f35278c98eab48a40aefffba361ba2a28.jpg
VenantHP,HP OMEN Gaming,430 000,Hann maristes Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8675e4fa0b91a0f2c24bec8d02b454f7/-/horizon-files-prod/ed/picture/qv4wm5dj/1d048f8f086a921b898816102e6f5ee82a397b93.jpg
NeufHP,💻 HP EliteBook x360 1040 G6,245 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aa5d15bc4f75054421676878b5ce54cd/-/horizon-files-prod/ed/picture/qzvp96gr/f4b71d21c1685b7b06630b8a8545bcf1050471d9.jpg
NeufHP,Hp EliteBook 840 g6 i5 TACTILE,235 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/895904a2a454e8c1ef4329a7a2b8a700/-/horizon-files-prod/ed/picture/qgq96ezn/8235f65308f42ee4b7f8b855fc8d9c2a756532bb.jpg
NeufApple,MacBook Pro M2 Pro 16 pouces 2023 16Go 512Go,950 000,Dieuppeul Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/37d937391e8004ab10b77875b2606177/-/horizon-files-prod/ed/picture/q0g7z52g/56608bdf83642084e5f4ee80a71e11ac8fb3ffa5.jpg
VenantApple,MacBook Pro 2019 16 Pouces - I7 | 16GB RAM | 512,450 000,Point-e Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d93dcf028e8cd935aadd470086fcdb53/-/horizon-files-prod/ed/picture/qrz8erm5/7abc28b40c4f9e2e5c5fd20dedc83246afee2d86.jpg
VenantApple,MACBOOK PRO RETINA 2013 | i7 | 15'',185 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c5720fd5b1c34ea93202a335020cc5e/-/horizon-files-prod/ed/picture/qxjpn7rn/d4cd7fe34e215665f367275e637554078caf1505.jpg
NeufApple,MacBook Pro 16 pouces M3 PRO 36GB SSD 512,1 949 000,Fenêtre mermoz Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/49a1640e730b5ef826b4db94a1eb2f43/-/horizon-files-prod/ed/picture/qwepmj0z/2633d1c64c06cab0726508efa010c9dec3f84bab.jpg
NeufApple,MacBook Pro M3,1 050 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c299514ac118077badc6d7ea6e3038c3/-/horizon-files-prod/ed/picture/q6xd277g/d709dcee6f7e86b3619ac496bb43a9e627f3c4c2.jpg
NeufHP,HP zbook power 15 i7 1to/32go,650 000,Derkle Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5afaa4874e91d97dd948169c53f670fa/-/horizon-files-prod/ed/picture/q8v42d44/79398ce3309d0a884358b092e2ed6c227102d2c0.png
NeufDell,Dell latitude 5330 i7 12th,390 000,Derkle Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0e18fc048a2d1f6376e0c770efa0a99c/-/horizon-files-prod/ed/picture/q0g7nm9e/70c8c627325dd4d93337c4f1da827c616e4d58d3.png
Venant,Gamer MSI GF65 Thin .,450 000,Hlm Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/21f63096f37dbb3be765f26855601afa/-/horizon-files-prod/ed/picture/q8v47pr7/e60d31a7dacb1101a585e97431621a6a1b93bfde.jpg
NeufHP,HP Elitebook 830 G7 cor i5,320 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/475081ecc494ae4162b3ca9126f06997/-/horizon-files-prod/ed/picture/q6xdngnz/7743d7eb06f4c83d637d13c2a89d3cdc27d348b8.jpg
NeufDell,Dell 7280 i5 tactile,150 000,Amitié Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ae37a2c0aceb5e3a03ac798d4049903d/-/horizon-files-prod/ed/picture/qv4wqeem/f229ba5dbdd34c22fcf337f5a6764cfbf50a74d1.jpg
VenantApple,MacBook Pro 2020 - I7 | 32GB RAM | 512,550 000,Point-e Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4a88eb3a831b65cbacbed74502bd478e/-/horizon-files-prod/ed/picture/qq42gqrw/d34bced26d2a5f641b1d35e290f7c4a4934a8a1d.jpg
NeufDell,Dell Precision 3551 / 10th Gen - i9-10885H,450 000,Point-e Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/14d2102cca4483fa8808e35875be3dfc/-/horizon-files-prod/ed/picture/q0g7682j/5bef8c2b04379d10bb5c617f74c65fd540165b28.jpg
NeufLenovo,Lenovo IdeaPad 3 Ryzen 5 /8GO/512SSD,250 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/494143f7cfddfa6cdb1f9c298c30af27/-/horizon-files-prod/ed/picture/qv4wkd5m/e216a46a5f0d9d5b0444fa76c1f52f209fcd415a.jpg
VenantDell,Ordinateur 6420 i5 ram 8,110 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dadff2718fad71797060bcd5f93ebe81/-/horizon-files-prod/ed/picture/qwxez2g/20b4951984c59e4ce0397e9db64353d434229635.jpg
VenantLenovo,Lenovo P1 gen 3,410 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3511b24d121d44dbb81caa9919a08ed6/-/horizon-files-prod/ed/picture/qv4wq9dk/8b7ff166b8d3b8408034dd0aa5573cda9e5f73d6.jpg
VenantApple,MacBook Pro i5 / 8 Go / 256 Go,350 000,Hann maristes Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d56157098225fc5ba15990dd0629e24a/-/horizon-files-prod/ed/picture/qxjpjn88/67f6210cdca2e5e73f46150124ac820c18f76d7b.jpg
NeufHP,HP Elitebook 860 G10 i7 13th Gen 16 Pouces 2023,875 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/73624b003bf7a6ab672d38ec77ce00ca/-/horizon-files-prod/ed/picture/qv4ev5g5/290947f2b231de709338cab659a984c2a71729c2.jpg
NeufHP,Promo Hp EliteBook 840 Corei5 256 ssd Ram8,150 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e18ec2d21f960764be78a7ae3941dc6c/-/horizon-files-prod/ed/picture/qde7qjjm/39295466598f73a201a42b29f940d2eb015e1c71.jpg
Neuf,MSI Cyborg 15 RTX 4050,650 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/49ce5c8502ed3dca0947639b3d5b6c3e/-/horizon-files-prod/ed/picture/qq42xzrw/d4172c6b8eaa98cbb5b6adf936179a3e30fe2a8f.png
NeufHP,Hp Elitebook 840 G5 * 8ème génération,185 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5241ff0e66d4606b08cf848cfaf91e82/-/horizon-files-prod/ed/picture/q44n2gvm/fc941a6eb7913342ade685f366f24ec428b3f86d.jpg
VenantApple,Vente MacBook Pro Touch Barr 2020,425 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8a3ebae34d8fc60dd69320e7de4be140/-/horizon-files-prod/ed/picture/qzvp0vdq/e9391148e9b2b1a818b476197c0a0a1af1362988.jpg
VenantHP,HP ZBook Firefly 15 G7 - I7 10th | 16GB RAM | 512,410 000,Point-e Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fd355f091804c85a3a53cbf8c8da28e1/-/horizon-files-prod/ed/picture/qde76927/b9e53ec3f8da67a3161409fe86fc0cd13759a65d.jpg
VenantApple,Vente MacBook Air M3,775 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c83acb50ef872d968b73e22cec8f1390/-/horizon-files-prod/ed/picture/q78w68wj/7d3aeecc67fa80980126b396334a1383d91b50ff.jpg
VenantHP,Hp probook 650 g1 i5 ram 8,130 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7caa5d5a63bcb02c2a0c36c4c48bc914/-/horizon-files-prod/ed/picture/qj4j5k2r/2ff8723484e6e926b58f2e929010cacfe2c58ddd.jpg
NeufDell,Del xsp 13 plus 12th 4k tactile 1to,600 000,Derkle Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b2145910e9d2056bfabadd59d892f2b5/-/horizon-files-prod/ed/picture/q9mj6knp/469174e9f8bec3245b5cfec7d7ec8b2e27d6d56e.jpg
