details,etat,marque,prix,adresse,image_lien
Téléphone Redmi 14C scellé 256GB RAM8,Neuf,Xiaomi,94 900,Fass Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/08cfcf600a3d3e4ebf8e9af47ab530f7/-/horizon-files-prod/ed/picture/q8v4wz24/9bf4168c72f6a4867102611c3839a4492a65db67.jpg
Samsung Galaxy S25 ultra,Neuf,Samsung,770 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/553b485d2eb5b78f190e7134174ca833/-/horizon-files-prod/ed/picture/qngpedng/8612d8d444bf98e5cdc4dd9d6aef1b8321388cd3.jpg
iPhone 16 128GB SIM Noir,Neuf,iPhone,480 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/df626ee72c15103445614ff2107e8447/-/horizon-files-prod/ed/picture/qpdmew7p/519a0dd6225a08245595c78d3da4a44b0cce38e6.jpg
SAMSUNG GALAXY TAB A9 64GB,Neuf,Samsung,90 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/97ece25c900e26d8588f1681bd41e247/-/horizon-files-prod/ed/picture/qwepw9rp/2211c67cf4df9541be1b7e9879f0cf319f0c8dd5.jpg
Honor 90 256Go,Neuf,Honor,220 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bc793cd9dedc28113aca8a090a6bbc98/-/horizon-files-prod/ed/picture/q2j09d9j/4c6d832c3cf7ed758c07de47151de83dd55b5839.jpg
Fold 3 256g scellé,Neuf,Autres,360 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/070fd615a38406ff6cec370106715c5f/-/horizon-files-prod/ed/picture/q6xd966j/1685976ebbbcfa0bb173347b1f893d11c01495f7.jpg
Xiaomi redmi note 13 256go ram 8go,Neuf,Xiaomi,115 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ed1584a8cd3423a2772eb63ee1b23dcb/-/horizon-files-prod/ed/picture/qde7004g/5520e8e5be0cc2b65ce2b9f057dcd24bab20c6de.jpg
Samsung galaxy A16 dual sim 128go ram 4go,Neuf,Samsung,95 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a676c14090564c3a13814c5ee2681295/-/horizon-files-prod/ed/picture/qm5gwvnr/51c0ad856c674fbe1ed7027cee2bb3c0ff1c7ecb.png
Xiaomi redmi 14c neuf 256go ram 8go,Neuf,Xiaomi,80 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/07630618ef1ef20c4affaa65a581a5f2/-/horizon-files-prod/ed/picture/qwepj00k/891094a3fae67da911ade1a3d660ea48d8c013f1.jpg
Huawei p30 pro 128go ram8,Neuf,Huawei,124 900,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1dfbbd52ab9f438ebbed68266ef89342/-/horizon-files-prod/ed/picture/qv4w6m8m/924ec708fdaf1c8739ce1a5bda0866953578606b.jpg
